tblname,name,poly,incomeShared,senateIdShared
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.776481,42.510641</coordinates></Point>",0,4
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.51201,42.53759</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.559912,42.451001</coordinates></Point>",0,9
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.710743,42.486491</coordinates></Point>",0,9
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.704912,42.66807</coordinates></Point>",0,9
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.143321,41.830177</coordinates></Point>",NA,36
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.490222,42.393037</coordinates></Point>",NA,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.560256,42.431141</coordinates></Point>",0,9
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.553369,42.60198</coordinates></Point>",NA,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.743248,42.139579</coordinates></Point>",NA,12
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.969861,42.007699</coordinates></Point>",0,36
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.656696,42.587719</coordinates></Point>",0,14
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.105011,42.19169</coordinates></Point>",NA,8
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.952171,41.922486</coordinates></Point>",0,36
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.414157,42.544591</coordinates></Point>",0,13
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.574067,42.175897</coordinates></Point>",0,11
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.510031,42.691392</coordinates></Point>",0,6
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.022281,42.113566</coordinates></Point>",0,8
1,4-H CLUBS & AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-71.539898,42.097563</coordinates></Point>",NA,12
1,4-H CLUBS & AFFILIATED 4-H ORGRANIZATIONS,"<Point><coordinates>-70.716887,42.016738</coordinates></Point>",0,34
1,4-H CLUBS AND AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-72.49874,42.062009</coordinates></Point>",0,7
1,4-H CLUBS AND AFFILIATED 4-H ORGANIZATIONS,"<Point><coordinates>-70.868375,41.868095</coordinates></Point>",0,36
1,402 RINGE CORPORATION,"<Point><coordinates>-71.075569,42.37036</coordinates></Point>",2922652,26
1,437 ESSEX INC,"<Point><coordinates>-70.85098,42.575631</coordinates></Point>",750872,21
1,46 ROCKLAND STREET BUILDING CORPORATION,"<Point><coordinates>-71.158446,42.257726</coordinates></Point>",51859,30
1,461ST BOMB GROUP H 1943-1945 INC,"<Point><coordinates>-71.006077,41.855349</coordinates></Point>",0,36
1,47 PALMER INC,"<Point><coordinates>-71.119945,42.374378</coordinates></Point>",1247210,26
1,470 PLEASANT STREET HOLDINGS COMPANY INC,"<Point><coordinates>-71.123199,42.352109</coordinates></Point>",0,28
1,470 PRODUCTIONS INC,"<Point><coordinates>-71.181125,42.385489</coordinates></Point>",0,28
1,484 PHI ALPHA FOUNDATION INC,"<Point><coordinates>-72.63599,42.369562</coordinates></Point>",401806,6
1,495 METROWEST CORRIDOR PARTNERSHIP CHARITABLE TR,"<Point><coordinates>-71.581869,42.287656</coordinates></Point>",0,14
1,495 METROWEST CORRIDOR PARTNERSHIP INC,"<Point><coordinates>-71.581869,42.287656</coordinates></Point>",113356,14
1,495 STARS YOUTH HOCKEY ASSOCIATION,"<Point><coordinates>-71.457147,42.379187</coordinates></Point>",128012,14
1,4CS FOR KIDS FUND INC,"<Point><coordinates>-71.148727,42.248541</coordinates></Point>",0,30
1,4TH KINGS OWN REGIMENT,"<Point><coordinates>-71.420758,42.26853</coordinates></Point>",NA,15
1,4TH WALL STAGE COMPANY,"<Point><coordinates>-71.682862,42.203944</coordinates></Point>",0,11
1,5 WRENTHAM MEMORIAL CHAPTER,"<Point><coordinates>-71.321397,41.975092</coordinates></Point>",0,17
1,517TH PARACHUTE REGIMENTAL COMBAT TEAM ASSOCIATION INC,"<Point><coordinates>-70.807514,42.238056</coordinates></Point>",NA,34
1,526 PARK STREET INC,"<Point><coordinates>-71.074728,42.278133</coordinates></Point>",186529,1
1,538 TALBOT AVENUE INC,"<Point><coordinates>-71.071659,42.290996</coordinates></Point>",117646,1
1,555 CREDIT UNION INC,"<Point><coordinates>-71.110066,42.167852</coordinates></Point>",NA,32
1,5TH IGLESIA DE JESUCRISTO EL BUEN SAMARITANO M I CORP,"<Point><coordinates>-71.067056,42.319055</coordinates></Point>",NA,1
1,5TH MASS BATTERY E LIGHT ARTILLERY ARMY OF POTOMAC INC,"<Point><coordinates>-71.111999,42.525095</coordinates></Point>",0,23
1,6063 BUILDING ASSOCIATION INC,"<Point><coordinates>-71.257831,42.076766</coordinates></Point>",0,31
1,7 X 24 EXCHANGE INTERNATIONAL,"<Point><coordinates>-71.082484,42.361972</coordinates></Point>",0,0
1,7-17 YOUNG STREET PROPERTIES INC,"<Point><coordinates>-71.836693,42.244405</coordinates></Point>",73924,11
1,704 FHC LLC,"<Point><coordinates>-70.60453,41.552781</coordinates></Point>",818021,39
1,76 MOUNT AUBURN STREET INC,"<Point><coordinates>-71.118605,42.371972</coordinates></Point>",184133,26
1,77 MAGAZINE HOUSE INC,"<Point><coordinates>-71.091861,42.37826</coordinates></Point>",144728,25
1,808-812 MEMORIAL DRIVE HOUSING CHARITABLE TR,"<Point><coordinates>-71.105428,42.364678</coordinates></Point>",1684734,26
1,808-812 MEMORIAL DRIVE TENANTS ASSOCIATION INC,"<Point><coordinates>-71.115822,42.360925</coordinates></Point>",0,27
1,826 BOSTON INC,"<Point><coordinates>-71.097546,42.316616</coordinates></Point>",503371,2
1,82D AIRBORNE DIVISION ASSOCIATION INC,"<Point><coordinates>-71.835009,42.053565</coordinates></Point>",NA,12
1,888 WOMENS HISTORY PROJECT INC,"<Point><coordinates>-71.080951,42.369148</coordinates></Point>",0,26
1,9-18 GOLF CLUB INC,"<Point><coordinates>-70.946883,41.7087</coordinates></Point>",0,38
1,90 HIGH ROCK STREET LLC,"<Point><coordinates>-70.92881,42.476341</coordinates></Point>",704131,22
1,911 ELECTRONIC MEDIA ARTS INCORPORATED,"<Point><coordinates>-71.317263,42.635586</coordinates></Point>",0,13
1,955 BOYLSTON STREET CORPORATION,"<Point><coordinates>-71.043915,42.35102</coordinates></Point>",0,1
1,9TH MASSACHUSETTS BATTERY LIGHT ARTILLERY ARMY OF THE POTOMAC INC,"<Point><coordinates>-72.696944,42.310528</coordinates></Point>",0,6
1,A B C D E INC,"<Point><coordinates>-73.228483,42.3929</coordinates></Point>",0,4
1,A BETTER CITY INC,"<Point><coordinates>-71.054185,42.35842</coordinates></Point>",1396251,27
1,A BETTER CITY INITIATIVE INC,"<Point><coordinates>-71.054185,42.35842</coordinates></Point>",334640,27
1,A BETTER TOMORROW SERVICES INC,"<Point><coordinates>-71.062418,42.401005</coordinates></Point>",49200,26
1,A BETTER TOMORROW SHELTER FOR CATS,"<Point><coordinates>-72.100524,42.685414</coordinates></Point>",NA,8
1,A BRUSH WITH HISTORY INC,"<Point><coordinates>-71.313413,42.6447</coordinates></Point>",85253,13
1,A C RATSHESKY FOUNDATION,"<Point><coordinates>-71.058682,42.354137</coordinates></Point>",2932124,27
1,A C WHELAND SCHOOL PTA,"<Point><coordinates>-71.018827,42.418884</coordinates></Point>",74839,27
1,A CHILD WAITS FOUNDATION,"<Point><coordinates>-73.268033,42.547818</coordinates></Point>",3661786,4
1,A CHILDS LIGHT INC,"<Point><coordinates>-71.303216,42.694454</coordinates></Point>",0,18
1,A CHURCH IN CHRIST,"<Point><coordinates>-72.375551,42.143629</coordinates></Point>",NA,8
1,A CHURCH OF THE LIVING GOD INC,"<Point><coordinates>-70.590301,41.572653</coordinates></Point>",NA,39
1,A DEUS RESTAURACAO REVERE,"<Point><coordinates>-71.032241,42.409756</coordinates></Point>",NA,26
1,A DRIVE FOR NORTON INC,"<Point><coordinates>-71.20934,41.938044</coordinates></Point>",20227,31
1,A FAR CRY INC,"<Point><coordinates>-71.114696,42.304559</coordinates></Point>",432267,2
1,A FIGHTING CHANCE FOUNDATION,"<Point><coordinates>-70.879603,42.488775</coordinates></Point>",0,22
1,A G M REALTY INC,"<Point><coordinates>-72.617252,42.208868</coordinates></Point>",19000,5
1,A GOOD LAUGH INC,"<Point><coordinates>-71.692149,42.305832</coordinates></Point>",0,11
1,A HAND UP CHARITABLE FOUNDATION,"<Point><coordinates>-71.770566,42.528313</coordinates></Point>",78520,9
1,A HELPING HAND FOUNDATION INC,"<Point><coordinates>-71.755397,42.531784</coordinates></Point>",0,9
1,A HELPING PAW INC,"<Point><coordinates>-70.590471,41.745505</coordinates></Point>",75317,39
1,A IRVIN STUDLEY ELEMENTARY PARENT TEACHER ORGANIZATION INC,"<Point><coordinates>-71.303404,41.940138</coordinates></Point>",47180,17
1,A KEITH BRODKIN FOUNDATION,"<Point><coordinates>-71.36978,42.23899</coordinates></Point>",43136,17
1,A KINDER WORLD FOUNDATION,"<Point><coordinates>-71.081859,42.348892</coordinates></Point>",1753540,28
1,A L S FAMILY CHARITABLE FOUNDATION INC,"<Point><coordinates>-70.590471,41.745505</coordinates></Point>",311408,39
1,A LIFE TO LIVE FOUNDATION,"<Point><coordinates>-71.162716,42.333324</coordinates></Point>",5649,29
1,A LITTLE EASIER RECOVERY INC,"<Point><coordinates>-71.124633,42.70381</coordinates></Point>",286780,19
1,A M FUND,"<Point><coordinates>-71.050856,42.355554</coordinates></Point>",2105738,27
1,A M S I FOUNDATION INC,"<Point><coordinates>-71.459405,42.446396</coordinates></Point>",4800,14
1,A PATH IN THE WOODS FOUNDATION INC,"<Point><coordinates>-71.265577,42.318549</coordinates></Point>",26855,29
1,A PLACE CALLED OURS INC,"<Point><coordinates>-72.593435,42.148105</coordinates></Point>",0,3
1,A PLACE FOR US INC,"<Point><coordinates>-73.412337,42.232064</coordinates></Point>",0,4
1,A PLACE TO HEAL MINISTRIES,"<Point><coordinates>-71.459405,42.446396</coordinates></Point>",NA,14
1,A PLACE TO TURN INC,"<Point><coordinates>-71.386463,42.292897</coordinates></Point>",208860,15
1,A PROMISE TO ADAM,"<Point><coordinates>-71.17848,42.348282</coordinates></Point>",2562,29
1,A RED THREAD ADOPTION SERVICES INC,"<Point><coordinates>-71.191319,42.21037</coordinates></Point>",130777,30
1,A S AND ELSIE HIRSHMAN CHARITABLE FOUNDATION UI 091796,"<Point><coordinates>-71.070634,42.350851</coordinates></Point>",54902,27
1,A S I A-ASSOCIATION FOR INTERNATIONAL SLDRTY IN ASIA INC,"<Point><coordinates>-72.69953,42.50981</coordinates></Point>",42600,4
1,A SAFE PLACE INC,"<Point><coordinates>-70.100348,41.266952</coordinates></Point>",450872,40
1,A SPORTING CHANCE INC,"<Point><coordinates>-70.905082,42.257467</coordinates></Point>",58950,34
1,A VINCENT SMITH & HARRY E RICHMOND SCHOLARSHIP FUND,"<Point><coordinates>-70.850488,42.156696</coordinates></Point>",1155,35
1,A VOICE IN THE WILDERNESS MINISTRIES,"<Point><coordinates>-71.093684,42.286498</coordinates></Point>",NA,2
1,A W BALDWIN CHARITABLE FOUNDATION INC,"<Point><coordinates>-71.053877,42.350334</coordinates></Point>",5511774,27
1,A W PHINNEY JR CHARITABLE FOUNDATION,"<Point><coordinates>-71.1105,42.310248</coordinates></Point>",303812,2
1,A W VINAL POST 313 AMERICAN LEGION,"<Point><coordinates>-71.392402,42.637362</coordinates></Point>",392271,16
1,A WELLNESS EDUCATION NETWORK,"<Point><coordinates>-71.096498,42.398616</coordinates></Point>",0,25
1,A WOMANS CONCERN INC,"<Point><coordinates>-71.063796,42.287492</coordinates></Point>",715409,1
1,A-B TRAVEL BASKETBALL PROGRAM,"<Point><coordinates>-71.453674,42.458427</coordinates></Point>",96282,14
